workload	opcode	origin	visit	types	memory	action	type_idx	new_type	count	share_percent
consumer-typeset	G_AND	initial	first	i16	-	WidenScalar	0	i32	1423	0.436080
consumer-typeset	G_CONSTANT	initial	first	i8	-	Legal	0	-	1310	0.401451
consumer-typeset	G_ADD	initial	first	i32	-	Legal	0	-	1223	0.374790
consumer-typeset	G_SHL	initial	revisit	i32,i64	-	Legal	0	-	1150	0.352419
consumer-typeset	G_LSHR	initial	revisit	i32,i64	-	Legal	0	-	1124	0.344451
consumer-typeset	G_LOAD	initial	first	i32,p0	i32@64@not_atomic@not_atomic	Legal	0	-	883	0.270597
consumer-typeset	G_CONSTANT	generated	first	i64	-	Legal	0	-	879	0.269371
consumer-typeset	G_ANYEXT	generated	first	i32,i16	-	Legal	0	-	857	0.262629
consumer-typeset	G_TRUNC	generated	first	i16,i32	-	Legal	0	-	821	0.251597
consumer-typeset	G_SEXT	initial	first	i64,i32	-	Legal	0	-	772	0.236580
consumer-typeset	G_LSHR	initial	revisit	i32,i32	-	Custom	0	-	765	0.234435
consumer-typeset	G_LOAD	initial	first	i16,p0	i16@32@not_atomic@not_atomic	Legal	0	-	759	0.232597
consumer-typeset	G_AND	initial	first	i8	-	WidenScalar	0	i32	709	0.217274
consumer-typeset	G_STORE	initial	first	i8,p0	i8@64@not_atomic@not_atomic	Legal	0	-	687	0.210532
consumer-typeset	G_ICMP	initial	first	i1,i64	-	WidenScalar	0	i32	611	0.187242
consumer-typeset	G_ICMP	initial	revisit	i32,i64	-	Legal	0	-	611	0.187242
consumer-typeset	G_OR	initial	first	i16	-	WidenScalar	0	i32	602	0.184484
consumer-typeset	G_ZEXT	generated	first	i32,i16	-	Legal	0	-	594	0.182032
consumer-typeset	G_LSHR	initial	first	i16,i16	-	WidenScalar	1	i32	591	0.181113
consumer-typeset	G_LSHR	initial	revisit	i16,i32	-	WidenScalar	0	i32	591	0.181113
consumer-typeset	G_PHI	initial	first	i32	-	Legal	0	-	551	0.168855
consumer-typeset	G_OR	initial	first	i32	-	Legal	0	-	528	0.161806
consumer-typeset	G_STORE	initial	first	i8,p0	i8@8@not_atomic@not_atomic	Legal	0	-	505	0.154758
consumer-typeset	G_STORE	initial	first	i32,p0	i32@64@not_atomic@not_atomic	Legal	0	-	446	0.136677
consumer-typeset	G_STORE	initial	first	i16,p0	i16@16@not_atomic@not_atomic	Legal	0	-	437	0.133919
consumer-typeset	G_SHL	initial	revisit	i32,i32	-	Custom	0	-	415	0.127177
consumer-typeset	G_LOAD	initial	first	i16,p0	i16@16@not_atomic@not_atomic	Legal	0	-	400	0.122581
consumer-typeset	G_STORE	initial	first	i16,p0	i16@32@not_atomic@not_atomic	Legal	0	-	391	0.119823
consumer-typeset	G_ANYEXT	generated	first	i32,i8	-	Legal	0	-	368	0.112774
consumer-typeset	G_LSHR	initial	first	i32,i32	-	Custom	0	-	359	0.110016
consumer-typeset	G_LOAD	initial	first	i8,p0	i8@32@not_atomic@not_atomic	Legal	0	-	352	0.107871
consumer-typeset	G_SHL	initial	first	i32,i32	-	Custom	0	-	320	0.098064
consumer-typeset	G_SUB	initial	first	i32	-	Legal	0	-	317	0.097145
consumer-typeset	G_ZEXTLOAD	initial	first	i64,p0	i8@64@not_atomic@not_atomic	Legal	0	-	292	0.089484
consumer-typeset	G_TRUNC	generated	first	i8,i32	-	Legal	0	-	291	0.089177
consumer-typeset	G_OR	initial	first	i8	-	WidenScalar	0	i32	289	0.088564
consumer-typeset	G_SHL	initial	first	i16,i16	-	WidenScalar	1	i32	287	0.087952
consumer-typeset	G_SHL	initial	revisit	i16,i32	-	WidenScalar	0	i32	287	0.087952
consumer-typeset	G_CONSTANT	generated	first	i16	-	Legal	0	-	278	0.085193
consumer-typeset	G_STORE	initial	first	p0,p0	p0@8@not_atomic@not_atomic	Legal	0	-	270	0.082742
consumer-typeset	G_CONSTANT	initial	first	i1	-	WidenScalar	0	i8	257	0.078758
consumer-typeset	G_CONSTANT	initial	revisit	i8	-	Legal	0	-	257	0.078758
consumer-typeset	G_PHI	initial	first	p0	-	Legal	0	-	248	0.076000
consumer-typeset	G_PHI	initial	revisit	i16	-	Legal	0	-	238	0.072935
consumer-typeset	G_MUL	initial	first	i64	-	Legal	0	-	230	0.070484
consumer-typeset	G_PHI	initial	first	i1	-	WidenScalar	0	i16	227	0.069564
consumer-typeset	G_AND	generated	first	i32	-	Legal	0	-	222	0.068032
consumer-typeset	G_ZEXT	generated	first	i32,i8	-	Legal	0	-	213	0.065274
consumer-typeset	G_LOAD	initial	first	i8,p0	i8@8@not_atomic@not_atomic	Legal	0	-	205	0.062823
consumer-typeset	G_STORE	initial	first	i32,p0	i32@8@not_atomic@not_atomic	Legal	0	-	195	0.059758
consumer-typeset	G_STORE	initial	first	i8,p0	i8@32@not_atomic@not_atomic	Legal	0	-	186	0.057000
consumer-typeset	G_LSHR	initial	first	i8,i8	-	WidenScalar	1	i32	174	0.053323
consumer-typeset	G_LSHR	initial	revisit	i8,i32	-	WidenScalar	0	i32	174	0.053323
consumer-typeset	G_LOAD	initial	first	i16,p0	i16@64@not_atomic@not_atomic	Legal	0	-	160	0.049032
consumer-typeset	G_TRUNC	initial	first	i32,i64	-	Legal	0	-	157	0.048113
consumer-typeset	G_LOAD	initial	first	f32,p0	f32@32@not_atomic@not_atomic	Legal	0	-	144	0.044129
consumer-typeset	G_LOAD	initial	first	i32,p0	i16@16@not_atomic@not_atomic	Legal	0	-	144	0.044129
consumer-typeset	G_ZEXTLOAD	initial	first	i64,p0	i8@8@not_atomic@not_atomic	Legal	0	-	143	0.043823
consumer-typeset	G_TRUNC	initial	first	i8,i32	-	Legal	0	-	140	0.042903
consumer-typeset	G_LOAD	initial	first	i16,p0	i16@8@not_atomic@not_atomic	Legal	0	-	137	0.041984
consumer-typeset	G_SEXTLOAD	initial	first	i32,p0	i16@16@not_atomic@not_atomic	Legal	0	-	131	0.040145
consumer-typeset	G_SHL	initial	first	i8,i8	-	WidenScalar	1	i32	128	0.039226
consumer-typeset	G_SHL	initial	revisit	i8,i32	-	WidenScalar	0	i32	128	0.039226
consumer-typeset	G_TRUNC	initial	first	i16,i32	-	Legal	0	-	123	0.037694
consumer-typeset	G_STORE	initial	first	i16,p0	i16@64@not_atomic@not_atomic	Legal	0	-	113	0.034629
consumer-typeset	G_LOAD	initial	first	i8,p0	i8@64@not_atomic@not_atomic	Legal	0	-	110	0.033710
consumer-typeset	G_MUL	initial	first	i32	-	Legal	0	-	105	0.032177
consumer-typeset	G_ADD	initial	first	i64	-	Legal	0	-	104	0.031871
consumer-typeset	G_SITOFP	initial	first	f32,i32	-	Legal	0	-	102	0.031258
consumer-typeset	G_ZEXTLOAD	initial	first	i64,p0	i32@32@not_atomic@not_atomic	Legal	0	-	99	0.030339
consumer-typeset	G_SDIV	initial	first	i32	-	Legal	0	-	94	0.028806
consumer-typeset	G_FPEXT	initial	first	f64,f32	-	Legal	0	-	79	0.024210
consumer-typeset	G_STORE	initial	first	i8,p0	i8@16@not_atomic@not_atomic	Legal	0	-	73	0.022371
consumer-typeset	G_SELECT	initial	revisit	p0,i32	-	Legal	0	-	68	0.020839
consumer-typeset	G_ZEXT	initial	first	i64,i32	-	Legal	0	-	66	0.020226
consumer-typeset	G_LOAD	initial	first	i8,p0	i8@16@not_atomic@not_atomic	Legal	0	-	64	0.019613
consumer-typeset	G_FCONSTANT	initial	first	f32	-	Legal	0	-	63	0.019306
consumer-typeset	G_SELECT	initial	revisit	i32,i32	-	Legal	0	-	63	0.019306
consumer-typeset	G_STORE	initial	first	f32,p0	f32@32@not_atomic@not_atomic	Legal	0	-	59	0.018081
consumer-typeset	G_ZEXTLOAD	initial	first	i32,p0	i16@16@not_atomic@not_atomic	Legal	0	-	59	0.018081
consumer-typeset	G_PTRTOINT	initial	first	i64,p0	-	Legal	0	-	58	0.017774
consumer-typeset	G_FPTOSI	initial	first	i32,f32	-	Legal	0	-	53	0.016242
consumer-typeset	G_ZEXTLOAD	initial	first	i32,p0	i8@16@not_atomic@not_atomic	Legal	0	-	51	0.015629
consumer-typeset	G_FDIV	initial	first	f32	-	Legal	0	-	49	0.015016
consumer-typeset	G_STORE	initial	first	i16,p0	i16@8@not_atomic@not_atomic	Legal	0	-	47	0.014403
consumer-typeset	G_FCONSTANT	initial	first	f64	-	Legal	0	-	44	0.013484
consumer-typeset	G_ICMP	initial	revisit	i1,i32	-	WidenScalar	0	i32	42	0.012871
consumer-typeset	G_MUL	generated	first	i32	-	Legal	0	-	41	0.012565
consumer-typeset	G_SUB	generated	first	i32	-	Legal	0	-	41	0.012565
consumer-typeset	G_ICMP	initial	first	i1,i8	-	WidenScalar	1	i32	39	0.011952
consumer-typeset	G_FMUL	initial	first	f32	-	Legal	0	-	36	0.011032
consumer-typeset	G_LOAD	initial	first	i64,p0	i64@64@not_atomic@not_atomic	Legal	0	-	36	0.011032
consumer-typeset	G_SDIV	generated	first	i32	-	Legal	0	-	35	0.010726
consumer-typeset	G_SREM	initial	first	i32	-	Lower	0	-	35	0.010726
consumer-typeset	G_LOAD	initial	first	f64,p0	f64@64@not_atomic@not_atomic	Legal	0	-	34	0.010419
consumer-typeset	G_SELECT	initial	first	i32,i1	-	WidenScalar	1	i32	34	0.010419
consumer-typeset	G_SELECT	initial	first	p0,i1	-	WidenScalar	1	i32	34	0.010419
consumer-typeset	G_SUB	initial	first	i64	-	Legal	0	-	32	0.009806
consumer-typeset	G_FCMP	initial	first	i1,f64	-	WidenScalar	0	i32	26	0.007968
consumer-typeset	G_FCMP	initial	revisit	i32,f64	-	Legal	0	-	26	0.007968
consumer-typeset	G_STORE	initial	first	f64,p0	f64@64@not_atomic@not_atomic	Legal	0	-	24	0.007355
consumer-typeset	G_STORE	initial	first	i64,p0	i64@64@not_atomic@not_atomic	Legal	0	-	23	0.007048
consumer-typeset	G_STORE	initial	revisit	i32,p0	i32@32@not_atomic@not_atomic	Legal	0	-	22	0.006742
consumer-typeset	G_BRJT	initial	first	p0,i64	-	Legal	0	-	21	0.006435
consumer-typeset	G_JUMP_TABLE	initial	first	p0	-	Legal	0	-	21	0.006435
consumer-typeset	G_AND	generated	first	i64	-	Legal	0	-	20	0.006129
consumer-typeset	G_ANYEXT	generated	first	i64,i32	-	Legal	0	-	20	0.006129
consumer-typeset	G_ZEXTLOAD	initial	first	i64,p0	i16@16@not_atomic@not_atomic	Legal	0	-	17	0.005210
consumer-typeset	G_FMUL	initial	first	f64	-	Legal	0	-	16	0.004903
consumer-typeset	G_FPTRUNC	initial	first	f32,f64	-	Legal	0	-	16	0.004903
consumer-typeset	G_FNEG	initial	first	f32	-	Legal	0	-	15	0.004597
consumer-typeset	G_FCMP	initial	first	i1,f32	-	WidenScalar	0	i32	14	0.004290
consumer-typeset	G_FCMP	initial	revisit	i32,f32	-	Legal	0	-	14	0.004290
consumer-typeset	G_FPTOSI	initial	first	i32,f64	-	Legal	0	-	14	0.004290
consumer-typeset	G_SITOFP	initial	first	f64,i32	-	Legal	0	-	14	0.004290
consumer-typeset	G_SEXTLOAD	initial	first	i32,p0	i16@32@not_atomic@not_atomic	Legal	0	-	13	0.003984
consumer-typeset	G_SEXT_INREG	generated	first	i64	-	Legal	0	-	12	0.003677
consumer-typeset	G_UDIV	initial	first	i64	-	Legal	0	-	12	0.003677
consumer-typeset	G_LOAD	initial	first	i32,p0	i32@128@not_atomic@not_atomic	Legal	0	-	11	0.003371
consumer-typeset	G_LOAD	initial	first	i32,p0	i8@64@not_atomic@not_atomic	Legal	0	-	11	0.003371
consumer-typeset	G_ZEXTLOAD	initial	first	i32,p0	i16@64@not_atomic@not_atomic	Legal	0	-	11	0.003371
consumer-typeset	G_ZEXTLOAD	initial	first	i32,p0	i8@32@not_atomic@not_atomic	Legal	0	-	10	0.003065
consumer-typeset	G_PHI	initial	first	f32	-	Legal	0	-	9	0.002758
consumer-typeset	G_SEXTLOAD	initial	first	i64,p0	i32@64@not_atomic@not_atomic	Legal	0	-	9	0.002758
consumer-typeset	G_ADD	initial	revisit	i32	-	Legal	0	-	8	0.002452
consumer-typeset	G_FMA	initial	first	f32	-	Legal	0	-	8	0.002452
consumer-typeset	G_FSUB	initial	first	f64	-	Legal	0	-	8	0.002452
consumer-typeset	G_LOAD	initial	first	i32,p0	i8@8@not_atomic@not_atomic	Legal	0	-	8	0.002452
consumer-typeset	G_LOAD	initial	first	p0,p0	p0@128@not_atomic@not_atomic	Legal	0	-	8	0.002452
consumer-typeset	G_STORE	initial	first	s128,p0	s128@8@not_atomic@not_atomic	Legal	0	-	8	0.002452
consumer-typeset	G_LOAD	initial	first	i32,p0	i16@64@not_atomic@not_atomic	Legal	0	-	7	0.002145
consumer-typeset	G_XOR	initial	first	i1	-	WidenScalar	0	i32	7	0.002145
consumer-typeset	G_XOR	initial	revisit	i32	-	Legal	0	-	7	0.002145
consumer-typeset	G_FADD	initial	first	f64	-	Legal	0	-	6	0.001839
consumer-typeset	G_PTRTOINT	initial	first	i32,p0	-	WidenScalar	0	i64	6	0.001839
consumer-typeset	G_PTRTOINT	initial	revisit	i64,p0	-	Legal	0	-	6	0.001839
consumer-typeset	G_TRUNC	generated	first	i32,i64	-	Legal	0	-	6	0.001839
consumer-typeset	G_UDIV	generated	first	i32	-	Legal	0	-	6	0.001839
consumer-typeset	G_UREM	initial	first	i32	-	Lower	0	-	6	0.001839
consumer-typeset	G_FDIV	initial	first	f64	-	Legal	0	-	5	0.001532
consumer-typeset	G_MUL	generated	first	i64	-	Legal	0	-	5	0.001532
consumer-typeset	G_SUB	generated	first	i64	-	Legal	0	-	5	0.001532
consumer-typeset	G_TRUNC	initial	first	i8,i64	-	Legal	0	-	5	0.001532
consumer-typeset	G_UDIV	generated	first	i64	-	Legal	0	-	5	0.001532
consumer-typeset	G_UREM	initial	first	i64	-	Lower	0	-	5	0.001532
consumer-typeset	G_FADD	initial	first	f32	-	Legal	0	-	4	0.001226
consumer-typeset	G_MEMCPY	initial	first	p0,p0,i64	s8@64@not_atomic@not_atomic,s8@64@not_atomic@not_atomic	Libcall	0	-	4	0.001226
consumer-typeset	G_PHI	initial	first	f64	-	Legal	0	-	4	0.001226
consumer-typeset	G_FABS	initial	first	f64	-	Legal	0	-	3	0.000919
consumer-typeset	G_ICMP	initial	first	i1,i16	-	WidenScalar	1	i32	3	0.000919
consumer-typeset	G_SEXTLOAD	initial	first	i32,p0	i16@64@not_atomic@not_atomic	Legal	0	-	3	0.000919
consumer-typeset	G_STORE	initial	first	i64,p0	i64@8@not_atomic@not_atomic	Legal	0	-	3	0.000919
consumer-typeset	G_UDIV	initial	first	i32	-	Legal	0	-	3	0.000919
consumer-typeset	G_ZEXTLOAD	initial	first	i64,p0	i16@64@not_atomic@not_atomic	Legal	0	-	3	0.000919
consumer-typeset	G_ADD	initial	first	i16	-	WidenScalar	0	i32	2	0.000613
consumer-typeset	G_ADD	initial	first	i8	-	WidenScalar	0	i32	2	0.000613
consumer-typeset	G_ASHR	initial	first	i32,i32	-	Custom	0	-	2	0.000613
consumer-typeset	G_ASHR	initial	revisit	i32,i64	-	Legal	0	-	2	0.000613
consumer-typeset	G_FSUB	initial	first	f32	-	Legal	0	-	2	0.000613
consumer-typeset	G_LOAD	initial	first	f128,p0	s128@64@not_atomic@not_atomic	Legal	0	-	2	0.000613
consumer-typeset	G_LOAD	initial	first	i32,p0	i8@16@not_atomic@not_atomic	Legal	0	-	2	0.000613
consumer-typeset	G_MEMCPY	initial	first	p0,p0,i64	s8@8@not_atomic@not_atomic,s8@8@not_atomic@not_atomic	Libcall	0	-	2	0.000613
consumer-typeset	G_PHI	initial	revisit	i32	-	Legal	0	-	2	0.000613
consumer-typeset	G_SELECT	initial	revisit	i64,i32	-	Legal	0	-	2	0.000613
consumer-typeset	G_STORE	initial	first	f128,p0	s128@64@not_atomic@not_atomic	Legal	0	-	2	0.000613
consumer-typeset	G_STORE	initial	revisit	i32,p0	i32@8@not_atomic@not_atomic	Legal	0	-	2	0.000613
consumer-typeset	G_FFLOOR	initial	first	f64	-	Legal	0	-	1	0.000306
consumer-typeset	G_FMA	initial	first	f64	-	Legal	0	-	1	0.000306
consumer-typeset	G_FPTOSI	initial	first	i16,f64	-	WidenScalar	0	i32	1	0.000306
consumer-typeset	G_FPTOSI	initial	revisit	i32,f64	-	Legal	0	-	1	0.000306
consumer-typeset	G_INTTOPTR	initial	first	p0,i64	-	Legal	0	-	1	0.000306
consumer-typeset	G_MEMSET	initial	first	p0,i8,i64	s8@8@not_atomic@not_atomic	Libcall	0	-	1	0.000306
consumer-typeset	G_OR	initial	first	i64	-	Legal	0	-	1	0.000306
consumer-typeset	G_PHI	initial	first	i64	-	Legal	0	-	1	0.000306
consumer-typeset	G_SDIV	initial	first	i64	-	Legal	0	-	1	0.000306
consumer-typeset	G_SELECT	initial	first	i64,i1	-	WidenScalar	1	i32	1	0.000306
consumer-typeset	G_SEXTLOAD	initial	first	i64,p0	i16@16@not_atomic@not_atomic	Legal	0	-	1	0.000306
consumer-typeset	G_SEXT_INREG	generated	first	i32	-	Legal	0	-	1	0.000306
consumer-typeset	G_TRUNC	initial	first	i16,i64	-	Legal	0	-	1	0.000306
consumer-typeset	G_VASTART	initial	first	p0	s256@64@not_atomic@not_atomic	Legal	0	-	1	0.000306
kimwitu++	G_LOAD	initial	first	p0,p0	p0@64@not_atomic@not_atomic	Legal	0	-	47815	22.540530
kimwitu++	G_FRAME_INDEX	initial	first	p0	-	Legal	0	-	32559	15.348679
kimwitu++	G_STORE	initial	first	p0,p0	p0@64@not_atomic@not_atomic	Legal	0	-	21028	9.912836
kimwitu++	G_BR	initial	first	-	-	Legal	0	-	18137	8.549986
kimwitu++	G_CONSTANT	initial	first	i64	-	Legal	0	-	12745	6.008137
kimwitu++	G_BRCOND	initial	revisit	i32	-	Legal	0	-	12549	5.915740
kimwitu++	G_PTR_ADD	initial	first	p0,i64	-	Legal	0	-	11789	5.557467
kimwitu++	G_GLOBAL_VALUE	initial	first	p0	-	Custom	0	-	8965	4.226202
kimwitu++	G_BRCOND	initial	first	i1	-	WidenScalar	0	i32	6464	3.047202
kimwitu++	G_CONSTANT	initial	first	i32	-	Legal	0	-	5451	2.569663
kimwitu++	G_ICMP	initial	revisit	i32,i32	-	Legal	0	-	4101	1.933258
kimwitu++	G_ICMP	initial	first	i1,i32	-	WidenScalar	0	i32	3724	1.755536
kimwitu++	G_CONSTANT	initial	first	p0	-	Legal	0	-	3222	1.518887
kimwitu++	G_ICMP	initial	first	i1,p0	-	WidenScalar	0	i32	1976	0.931509
kimwitu++	G_ICMP	initial	revisit	i32,p0	-	Legal	0	-	1976	0.931509
kimwitu++	G_STORE	initial	first	i32,p0	i32@32@not_atomic@not_atomic	Legal	0	-	1624	0.765572
kimwitu++	G_CONSTANT	generated	first	i32	-	Legal	0	-	1372	0.646776
kimwitu++	G_LOAD	initial	first	i32,p0	i32@32@not_atomic@not_atomic	Legal	0	-	1316	0.620377
kimwitu++	G_LOAD	initial	first	i64,p0	i64@64@not_atomic@not_atomic	Legal	0	-	1157	0.545423
kimwitu++	G_PHI	initial	first	p0	-	Legal	0	-	1060	0.499696
kimwitu++	G_AND	generated	first	i32	-	Legal	0	-	860	0.405414
kimwitu++	G_INVOKE_REGION_START	initial	first	-	-	Legal	0	-	814	0.383729
kimwitu++	G_CONSTANT	initial	first	i8	-	Legal	0	-	581	0.273890
kimwitu++	G_PTRTOINT	initial	first	i32,p0	-	WidenScalar	0	i64	549	0.258805
kimwitu++	G_PTRTOINT	initial	revisit	i64,p0	-	Legal	0	-	549	0.258805
kimwitu++	G_TRUNC	generated	first	i32,i64	-	Legal	0	-	549	0.258805
kimwitu++	G_STORE	initial	first	i64,p0	i64@64@not_atomic@not_atomic	Legal	0	-	546	0.257391
kimwitu++	G_SHL	initial	first	i64,i64	-	Legal	0	-	490	0.230992
kimwitu++	G_ICMP	initial	first	i1,i8	-	WidenScalar	1	i32	377	0.177722
kimwitu++	G_ICMP	initial	revisit	i1,i32	-	WidenScalar	0	i32	377	0.177722
kimwitu++	G_ZEXT	generated	first	i32,i8	-	Legal	0	-	377	0.177722
kimwitu++	G_CONSTANT	initial	first	i1	-	WidenScalar	0	i8	370	0.174422
kimwitu++	G_CONSTANT	initial	revisit	i8	-	Legal	0	-	370	0.174422
kimwitu++	G_LOAD	initial	first	i32,p0	i32@64@not_atomic@not_atomic	Legal	0	-	345	0.162637
kimwitu++	G_ADD	initial	first	i32	-	Legal	0	-	287	0.135295
kimwitu++	G_STORE	initial	first	i32,p0	i32@64@not_atomic@not_atomic	Legal	0	-	278	0.131052
kimwitu++	G_LOAD	initial	first	i8,p0	i8@8@not_atomic@not_atomic	Legal	0	-	269	0.126810
kimwitu++	G_PTRTOINT	initial	first	i64,p0	-	Legal	0	-	268	0.126338
kimwitu++	G_ICMP	initial	first	i1,i64	-	WidenScalar	0	i32	250	0.117853
kimwitu++	G_ICMP	initial	revisit	i32,i64	-	Legal	0	-	250	0.117853
kimwitu++	G_STORE	initial	first	i8,p0	i8@8@not_atomic@not_atomic	Legal	0	-	247	0.116439
kimwitu++	G_ZEXTLOAD	initial	first	i32,p0	i8@8@not_atomic@not_atomic	Legal	0	-	214	0.100882
kimwitu++	G_TRUNC	generated	first	i8,i32	-	Legal	0	-	210	0.098996
kimwitu++	G_SUB	initial	first	i64	-	Legal	0	-	202	0.095225
kimwitu++	G_AND	generated	revisit	i32	-	Legal	0	-	192	0.090511
kimwitu++	G_AND	generated	first	i8	-	WidenScalar	0	i32	177	0.083440
kimwitu++	G_ADD	initial	first	i64	-	Legal	0	-	175	0.082497
kimwitu++	G_CONSTANT	generated	first	i8	-	Legal	0	-	175	0.082497
kimwitu++	G_STORE	generated	first	i8,p0	i8@8@not_atomic@not_atomic	Legal	0	-	158	0.074483
kimwitu++	G_STORE	initial	first	i1,p0	i1@8@not_atomic@not_atomic	WidenScalar	0	i8	158	0.074483
kimwitu++	G_STORE	initial	revisit	i8,p0	i1@8@not_atomic@not_atomic	Lower	0	-	158	0.074483
kimwitu++	G_SEXT	initial	first	i64,i32	-	Legal	0	-	109	0.051384
kimwitu++	G_SEXTLOAD	initial	first	i64,p0	i32@32@not_atomic@not_atomic	Legal	0	-	105	0.049498
kimwitu++	G_SDIV	initial	first	i64	-	Legal	0	-	102	0.048084
kimwitu++	G_CONSTANT	generated	first	i16	-	Legal	0	-	95	0.044784
kimwitu++	G_STORE	initial	revisit	i32,p0	i32@64@not_atomic@not_atomic	Legal	0	-	94	0.044313
kimwitu++	G_ANYEXT	generated	first	i32,i16	-	Legal	0	-	84	0.039599
kimwitu++	G_PHI	initial	first	i1	-	WidenScalar	0	i16	84	0.039599
kimwitu++	G_PHI	initial	revisit	i16	-	Legal	0	-	84	0.039599
kimwitu++	G_TRUNC	generated	first	i16,i32	-	Legal	0	-	84	0.039599
kimwitu++	G_MUL	initial	first	i64	-	Legal	0	-	81	0.038184
kimwitu++	G_TRAP	initial	first	-	-	Legal	0	-	81	0.038184
kimwitu++	G_LOAD	initial	first	i8,p0	i8@64@not_atomic@not_atomic	Legal	0	-	62	0.029227
kimwitu++	G_INTTOPTR	initial	first	p0,i64	-	Legal	0	-	61	0.028756
kimwitu++	G_SELECT	initial	revisit	i32,i32	-	Legal	0	-	61	0.028756
kimwitu++	G_SELECT	initial	first	i32,i1	-	WidenScalar	1	i32	60	0.028285
kimwitu++	G_LOAD	initial	first	i8,p0	i8@16@not_atomic@not_atomic	Legal	0	-	52	0.024513
kimwitu++	G_STORE	initial	first	i8,p0	i8@64@not_atomic@not_atomic	Legal	0	-	52	0.024513
kimwitu++	G_ANYEXT	generated	first	i32,i8	-	Legal	0	-	51	0.024042
kimwitu++	G_LOAD	generated	first	i8,p0	i8@8@not_atomic@not_atomic	Legal	0	-	51	0.024042
kimwitu++	G_LOAD	initial	first	i1,p0	i1@8@not_atomic@not_atomic	Lower	0	-	51	0.024042
kimwitu++	G_UDIV	initial	first	i64	-	Legal	0	-	50	0.023571
kimwitu++	G_SEXTLOAD	initial	first	i32,p0	i16@16@not_atomic@not_atomic	Legal	0	-	35	0.016499
kimwitu++	G_LOAD	initial	first	i64,p0	s64@64@not_atomic@not_atomic	Legal	0	-	34	0.016028
kimwitu++	G_STORE	initial	first	i64,p0	s64@64@not_atomic@not_atomic	Legal	0	-	34	0.016028
kimwitu++	G_TRUNC	initial	first	i8,i32	-	Legal	0	-	31	0.014614
kimwitu++	G_PHI	initial	first	i64	-	Legal	0	-	29	0.013671
kimwitu++	G_ZEXT	initial	first	i64,i32	-	Legal	0	-	28	0.013200
kimwitu++	G_CONSTANT	generated	first	i64	-	Legal	0	-	27	0.012728
kimwitu++	G_MEMMOVE	initial	first	p0,p0,i64	s8@64@not_atomic@not_atomic,s8@64@not_atomic@not_atomic	Libcall	0	-	27	0.012728
kimwitu++	G_STORE	initial	revisit	i8,p0	i8@8@not_atomic@not_atomic	Legal	0	-	24	0.011314
kimwitu++	G_ZEXTLOAD	initial	first	i32,p0	i8@16@not_atomic@not_atomic	Legal	0	-	23	0.010842
kimwitu++	G_ZEXTLOAD	initial	first	i64,p0	i32@32@not_atomic@not_atomic	Legal	0	-	21	0.009900
kimwitu++	G_STORE	initial	first	i8,p0	i8@16@not_atomic@not_atomic	Legal	0	-	19	0.008957
kimwitu++	G_STORE	initial	revisit	i8,p0	i8@64@not_atomic@not_atomic	Legal	0	-	17	0.008014
kimwitu++	G_ZEXTLOAD	initial	first	i64,p0	i8@8@not_atomic@not_atomic	Legal	0	-	17	0.008014
kimwitu++	G_TRUNC	initial	first	i32,i64	-	Legal	0	-	16	0.007543
kimwitu++	G_XOR	initial	revisit	i32	-	Legal	0	-	16	0.007543
kimwitu++	G_LOAD	initial	first	i8,p0	i8@32@not_atomic@not_atomic	Legal	0	-	15	0.007071
kimwitu++	G_BRJT	initial	first	p0,i64	-	Legal	0	-	14	0.006600
kimwitu++	G_JUMP_TABLE	initial	first	p0	-	Legal	0	-	14	0.006600
kimwitu++	G_MEMSET	initial	first	p0,i8,i64	s8@64@not_atomic@not_atomic	Libcall	0	-	14	0.006600
kimwitu++	G_MUL	generated	first	i64	-	Legal	0	-	13	0.006128
kimwitu++	G_SUB	generated	first	i64	-	Legal	0	-	13	0.006128
kimwitu++	G_UDIV	generated	first	i64	-	Legal	0	-	13	0.006128
kimwitu++	G_UREM	initial	first	i64	-	Lower	0	-	13	0.006128
kimwitu++	G_AND	generated	first	i64	-	Legal	0	-	12	0.005657
kimwitu++	G_ANYEXT	generated	first	i64,i32	-	Legal	0	-	12	0.005657
kimwitu++	G_STORE	initial	first	i8,p0	i8@32@not_atomic@not_atomic	Legal	0	-	11	0.005186
kimwitu++	G_SUB	initial	first	i32	-	Legal	0	-	11	0.005186
kimwitu++	G_LOAD	initial	first	i8,p0	s8@64@not_atomic@not_atomic	Legal	0	-	10	0.004714
kimwitu++	G_SEXTLOAD	initial	first	i64,p0	i32@64@not_atomic@not_atomic	Legal	0	-	10	0.004714
kimwitu++	G_STORE	initial	first	i8,p0	s8@64@not_atomic@not_atomic	Legal	0	-	10	0.004714
kimwitu++	G_TRUNC	initial	first	i8,i64	-	Legal	0	-	9	0.004243
kimwitu++	G_XOR	initial	first	i1	-	WidenScalar	0	i32	9	0.004243
kimwitu++	G_LOAD	initial	first	f128,p0	s128@64@not_atomic@not_atomic	Legal	0	-	8	0.003771
kimwitu++	G_LOAD	initial	first	f64,p0	f64@64@not_atomic@not_atomic	Legal	0	-	8	0.003771
kimwitu++	G_MUL	generated	first	i32	-	Legal	0	-	8	0.003771
kimwitu++	G_SDIV	generated	first	i32	-	Legal	0	-	8	0.003771
kimwitu++	G_SREM	initial	first	i32	-	Lower	0	-	8	0.003771
