workload	opcode	result_type	operand_types	count	share_percent
TOTAL	call	i1	ptr,ptr,ptr,i32,i32,i1,ptr	2	0.000106
TOTAL	call	i1	ptr,ptr,ptr,ptr,ptr,float,float,ptr	2	0.000106
TOTAL	call	i1	ptr,ptr,ptr,ptr,ptr,ptr,i1,ptr	2	0.000106
TOTAL	call	i32	double,i32,ptr,ptr,i32,ptr	2	0.000106
TOTAL	call	i32	i16,ptr,ptr	2	0.000106
TOTAL	call	i32	i32,double,ptr,ptr	2	0.000106
TOTAL	call	i32	i32,i32,i16,i16,i32,ptr	2	0.000106
TOTAL	call	i32	i32,i64,ptr	2	0.000106
TOTAL	call	i32	i32,ptr,i16,i8,ptr,ptr	2	0.000106
TOTAL	call	i32	i32,ptr,i32,i32,i16,i8,ptr,ptr,ptr,ptr	2	0.000106
TOTAL	call	i32	i32,ptr,i32,i32,ptr	2	0.000106
TOTAL	call	i32	i32,ptr,i32,i8,ptr	2	0.000106
TOTAL	call	i32	i32,ptr,i64,ptr,i32,ptr,ptr	2	0.000106
TOTAL	call	i32	i32,ptr,ptr,i64,ptr	2	0.000106
TOTAL	call	i32	i32,ptr,ptr,ptr,ptr,ptr,i32,ptr	2	0.000106
TOTAL	call	i32	i64,ptr,ptr	2	0.000106
TOTAL	call	i32	i8,i8,ptr	2	0.000106
TOTAL	call	i32	ptr,double,ptr	2	0.000106
TOTAL	call	i32	ptr,i16,i32,i32,i32,i32,i16,i16,ptr,ptr,i32,i32,i32,ptr,ptr	2	0.000106
TOTAL	call	i32	ptr,i16,i32,i32,i32,i32,i16,i16,ptr,ptr,ptr,ptr,i32,i32,i32,ptr,ptr	2	0.000106
TOTAL	call	i32	ptr,i16,i32,i32,i32,i32,ptr,ptr,ptr,ptr,i32,i32,i32,ptr,ptr	2	0.000106
TOTAL	call	i32	ptr,i16,ptr,ptr	2	0.000106
TOTAL	call	i32	ptr,i32,i32,i32,i32,ptr,i32,i32,i32,i32,ptr,ptr	2	0.000106
TOTAL	call	i32	ptr,i32,i32,ptr,i32,ptr,ptr,i32,ptr,ptr	2	0.000106
TOTAL	call	i32	ptr,i32,ptr,i32,ptr,ptr,ptr,ptr,ptr	2	0.000106
TOTAL	call	i32	ptr,i32,ptr,ptr,ptr,ptr,i32,ptr	2	0.000106
TOTAL	call	i32	ptr,i64,i64,i32,ptr,ptr	2	0.000106
TOTAL	call	i32	ptr,i64,ptr,i32,ptr,ptr	2	0.000106
TOTAL	call	i32	ptr,i64,ptr,ptr,i32,i32,ptr	2	0.000106
TOTAL	call	i32	ptr,ptr,double,i32,ptr	2	0.000106
TOTAL	call	i32	ptr,ptr,i1,i1,ptr	2	0.000106
TOTAL	call	i32	ptr,ptr,i32,i32,double,ptr	2	0.000106
TOTAL	call	i32	ptr,ptr,i32,i32,ptr,i32,i32,i32,i32,ptr	2	0.000106
TOTAL	call	i32	ptr,ptr,i32,ptr,i1,ptr	2	0.000106
TOTAL	call	i32	ptr,ptr,i32,ptr,ptr,i32,i32,ptr,ptr	2	0.000106
TOTAL	call	i32	ptr,ptr,i64,i32,ptr,ptr,ptr	2	0.000106
TOTAL	call	i32	ptr,ptr,i64,i64,i64,i32,ptr	2	0.000106
TOTAL	call	i32	ptr,ptr,i64,ptr,i32,i32,i32,ptr	2	0.000106
TOTAL	call	i32	ptr,ptr,i8,ptr	2	0.000106
TOTAL	call	i32	ptr,ptr,i8,ptr,ptr,ptr	2	0.000106
TOTAL	call	i32	ptr,ptr,ptr,float,ptr	2	0.000106
TOTAL	call	i32	ptr,ptr,ptr,i32,i32,ptr,ptr	2	0.000106
TOTAL	call	i32	ptr,ptr,ptr,ptr,i32,i32,ptr	2	0.000106
TOTAL	call	i32	ptr,ptr,ptr,ptr,i32,ptr,i32,ptr	2	0.000106
TOTAL	call	i32	ptr,ptr,ptr,ptr,ptr,i32,i32,ptr,ptr	2	0.000106
TOTAL	call	i32	ptr,ptr,ptr,ptr,ptr,ptr,ptr,ptr,ptr,i32,ptr,i32,ptr	2	0.000106
TOTAL	call	i32	ptr,ptr,ptr,ptr,ptr,ptr,ptr,ptr,ptr,ptr	2	0.000106
TOTAL	call	i32	ptr,ptr,ptr,ptr,ptr,ptr,ptr,ptr,ptr,ptr,ptr	2	0.000106
TOTAL	call	i64	i32,i32,ptr	2	0.000106
TOTAL	call	i64	i32,ptr,ptr,i64,ptr	2	0.000106
TOTAL	call	i64	ptr,[2 x i64],ptr	2	0.000106
TOTAL	call	i8	i32,ptr	2	0.000106
TOTAL	call	i8	i8,i8,ptr,ptr,ptr	2	0.000106
TOTAL	call	ptr	i32,i32,ptr,i32,ptr,ptr,double,ptr,ptr	2	0.000106
TOTAL	call	ptr	i32,i32,ptr,i32,ptr,ptr,ptr,ptr,i32,ptr	2	0.000106
TOTAL	call	ptr	i32,i32,ptr,i32,ptr,ptr,ptr,ptr,ptr,ptr,ptr,ptr	2	0.000106
TOTAL	call	ptr	i32,i32,ptr,ptr	2	0.000106
TOTAL	call	ptr	i32,ptr,i32,i32,i32,i32,i32,i32,ptr	2	0.000106
TOTAL	call	ptr	i32,ptr,ptr,i32,i32,i32,ptr	2	0.000106
TOTAL	call	ptr	i32,ptr,ptr,ptr,i32,ptr,ptr,ptr,ptr	2	0.000106
TOTAL	call	ptr	i32,ptr,ptr,ptr,i64,ptr	2	0.000106
TOTAL	call	ptr	ptr,i16,ptr,ptr	2	0.000106
TOTAL	call	ptr	ptr,i32,i32,ptr,i32,ptr	2	0.000106
TOTAL	call	ptr	ptr,i32,ptr,i32,i32,i32,ptr,ptr,ptr	2	0.000106
TOTAL	call	ptr	ptr,i32,ptr,ptr,i32,i32,i32,ptr,ptr,ptr	2	0.000106
TOTAL	call	ptr	ptr,i32,ptr,ptr,i32,ptr,ptr,ptr,ptr	2	0.000106
TOTAL	call	ptr	ptr,i32,ptr,ptr,ptr,i32,ptr,ptr,ptr,ptr	2	0.000106
TOTAL	call	ptr	ptr,i8,i64,ptr	2	0.000106
TOTAL	call	ptr	ptr,i8,ptr,ptr,ptr,ptr	2	0.000106
TOTAL	call	ptr	ptr,ptr,i16,ptr	2	0.000106
TOTAL	call	ptr	ptr,ptr,i32,i32,i32,ptr,ptr	2	0.000106
TOTAL	call	ptr	ptr,ptr,i32,i32,i32,ptr,ptr,ptr,ptr,ptr,ptr,ptr,ptr,ptr,ptr	2	0.000106
TOTAL	call	ptr	ptr,ptr,i32,i32,ptr,ptr,ptr,ptr,ptr	2	0.000106
TOTAL	call	ptr	ptr,ptr,i32,ptr,ptr,ptr,ptr,i32,ptr	2	0.000106
TOTAL	call	ptr	ptr,ptr,i64,i64,ptr,ptr	2	0.000106
TOTAL	call	ptr	ptr,ptr,i64,ptr,ptr,ptr,ptr	2	0.000106
TOTAL	call	ptr	ptr,ptr,ptr,i32,i32,i32,ptr,ptr	2	0.000106
TOTAL	call	ptr	ptr,ptr,ptr,ptr,ptr,i32,i32,ptr,ptr	2	0.000106
TOTAL	call	ptr	ptr,ptr,ptr,ptr,ptr,i32,ptr	2	0.000106
TOTAL	call	ptr	ptr,ptr,ptr,ptr,ptr,ptr,ptr,ptr,i32,ptr	2	0.000106
TOTAL	call	ptr	ptr,ptr,ptr,ptr,ptr,ptr,ptr,ptr,ptr,ptr,ptr	2	0.000106
TOTAL	call	void	double,ptr,ptr,ptr,ptr,ptr,ptr,ptr,ptr,ptr,i1,i1,ptr	2	0.000106
TOTAL	call	void	i16,i32,i32,i32,i32,ptr,ptr	2	0.000106
TOTAL	call	void	i16,i32,ptr	2	0.000106
TOTAL	call	void	i16,i32,ptr,ptr	2	0.000106
TOTAL	call	void	i16,ptr	2	0.000106
TOTAL	call	void	i16,ptr,i16,ptr	2	0.000106
TOTAL	call	void	i32,float,float,float,ptr	2	0.000106
TOTAL	call	void	i32,i32,i32,ptr,i32,ptr,ptr	2	0.000106
TOTAL	call	void	i32,i32,ptr,ptr,ptr,ptr	2	0.000106
TOTAL	call	void	i8,ptr,ptr	2	0.000106
TOTAL	call	void	ptr,float,float,float,ptr,ptr,ptr	2	0.000106
TOTAL	call	void	ptr,float,ptr,ptr,float,ptr,ptr,ptr	2	0.000106
TOTAL	call	void	ptr,i1,i1,ptr,ptr,ptr,ptr,ptr	2	0.000106
TOTAL	call	void	ptr,i16,i1,i1,ptr	2	0.000106
TOTAL	call	void	ptr,i32,i32,i32,i32,i32,i32,ptr	2	0.000106
TOTAL	call	void	ptr,i32,i32,ptr,i32,i16,i32,i32,ptr	2	0.000106
TOTAL	call	void	ptr,i32,i32,ptr,ptr,i16,ptr,ptr,ptr,ptr	2	0.000106
TOTAL	call	void	ptr,i32,ptr,i32,ptr,ptr,ptr,ptr,ptr	2	0.000106
TOTAL	call	void	ptr,i32,ptr,ptr,i32,i32,i32,ptr	2	0.000106
TOTAL	call	void	ptr,i32,ptr,ptr,i64,ptr	2	0.000106
TOTAL	call	void	ptr,i32,ptr,ptr,ptr,i32,ptr	2	0.000106
TOTAL	call	void	ptr,i32,ptr,ptr,ptr,ptr,ptr,ptr,ptr,ptr,ptr	2	0.000106
TOTAL	call	void	ptr,i64,i64,i32,i64,ptr	2	0.000106
TOTAL	call	void	ptr,i64,i64,i64,ptr,ptr	2	0.000106
TOTAL	call	void	ptr,i8,ptr,ptr	2	0.000106
TOTAL	call	void	ptr,ptr,i1,i1,ptr	2	0.000106
TOTAL	call	void	ptr,ptr,i1,i32,i32,ptr	2	0.000106
TOTAL	call	void	ptr,ptr,i32,i32,i32,i32,double,i32,i32,ptr	2	0.000106
TOTAL	call	void	ptr,ptr,i32,i32,i32,i32,ptr	2	0.000106
TOTAL	call	void	ptr,ptr,i32,i64,ptr	2	0.000106
TOTAL	call	void	ptr,ptr,i32,ptr,ptr,ptr,ptr,ptr	2	0.000106
TOTAL	call	void	ptr,ptr,ptr,float,float,ptr	2	0.000106
TOTAL	call	void	ptr,ptr,ptr,i16,i32,i32,i32,i32,i32,ptr,ptr	2	0.000106
TOTAL	call	void	ptr,ptr,ptr,i32,ptr,ptr,ptr	2	0.000106
TOTAL	call	void	ptr,ptr,ptr,ptr,i32,i32,i32,ptr	2	0.000106
TOTAL	call	void	ptr,ptr,ptr,ptr,i32,ptr,ptr,ptr	2	0.000106
TOTAL	call	void	ptr,ptr,ptr,ptr,ptr,i1,i32,i32,ptr	2	0.000106
TOTAL	call	void	ptr,ptr,ptr,ptr,ptr,ptr,i1,ptr	2	0.000106
TOTAL	call	void	ptr,ptr,ptr,ptr,ptr,ptr,i32,i32,ptr	2	0.000106
TOTAL	call	void	ptr,ptr,ptr,ptr,ptr,ptr,ptr,float,ptr	2	0.000106
TOTAL	call	void	ptr,ptr,ptr,ptr,ptr,ptr,ptr,i32,i32,ptr	2	0.000106
TOTAL	call	void	ptr,ptr,ptr,ptr,ptr,ptr,ptr,i32,ptr	2	0.000106
TOTAL	call	void	ptr,ptr,ptr,ptr,ptr,ptr,ptr,ptr,ptr,ptr	2	0.000106
TOTAL	call	void	ptr,ptr,ptr,ptr,ptr,ptr,ptr,ptr,ptr,ptr,i32,i32,i32,i32,i32,i32,ptr,ptr,ptr	2	0.000106
TOTAL	call	void	ptr,ptr,ptr,ptr,ptr,ptr,ptr,ptr,ptr,ptr,i32,i32,ptr,ptr,ptr	2	0.000106
TOTAL	fadd	fp128	fp128,fp128	2	0.000106
TOTAL	fdiv	fp128	fp128,fp128	2	0.000106
TOTAL	fneg	fp128	fp128	2	0.000106
TOTAL	fptoui	i32	double	2	0.000106
TOTAL	invoke	%class.btVector3	ptr,ptr,i32,label,label,ptr	2	0.000106
TOTAL	invoke	%class.btVector3	ptr,ptr,ptr,label,label,ptr	2	0.000106
TOTAL	invoke	float	ptr,ptr,i1,label,label,ptr	2	0.000106
TOTAL	invoke	float	ptr,ptr,i32,ptr,i32,ptr,i32,ptr,ptr,ptr,label,label,ptr	2	0.000106
TOTAL	invoke	i1	[2 x i64],i16,ptr,label,label,ptr	2	0.000106
TOTAL	invoke	i1	i64,ptr,label,label,ptr	2	0.000106
TOTAL	invoke	i1	ptr,i32,i32,ptr,label,label,ptr	2	0.000106
TOTAL	invoke	i1	ptr,ptr,i1,ptr,label,label,ptr	2	0.000106
TOTAL	invoke	i1	ptr,ptr,i64,label,label,ptr	2	0.000106
TOTAL	invoke	i1	ptr,ptr,ptr,ptr,ptr,float,float,label,label,ptr	2	0.000106
TOTAL	invoke	i1	ptr,ptr,ptr,ptr,ptr,label,label,ptr	2	0.000106
TOTAL	invoke	i32	i1,i32,label,label,ptr	2	0.000106
TOTAL	invoke	i32	i1,label,label,ptr	2	0.000106
TOTAL	invoke	i32	i32,i32,label,label,ptr	2	0.000106
TOTAL	invoke	i32	i32,ptr,ptr,label,label,ptr	2	0.000106
TOTAL	invoke	i32	i64,ptr,ptr,ptr,i1,i1,label,label,ptr	2	0.000106
TOTAL	invoke	i32	i8,i8,label,label,ptr	2	0.000106
TOTAL	invoke	i32	ptr,i32,i1,label,label,ptr	2	0.000106
TOTAL	invoke	i32	ptr,i32,i32,i32,label,label,ptr	2	0.000106
TOTAL	invoke	i32	ptr,i32,i32,ptr,ptr,ptr,i1,ptr,ptr,ptr,label,label,ptr	2	0.000106
TOTAL	invoke	i32	ptr,i64,i64,ptr,label,label,ptr	2	0.000106
TOTAL	invoke	i32	ptr,i64,i64,ptr,ptr,label,label,ptr	2	0.000106
TOTAL	invoke	i32	ptr,i64,ptr,ptr,ptr,ptr,label,label,ptr	2	0.000106
TOTAL	invoke	i32	ptr,i8,label,label,ptr	2	0.000106
TOTAL	invoke	i32	ptr,ptr,i32,i1,label,label,ptr	2	0.000106
TOTAL	invoke	i32	ptr,ptr,i32,i32,ptr,label,label,ptr	2	0.000106
TOTAL	invoke	i32	ptr,ptr,i32,ptr,ptr,ptr,label,label,ptr	2	0.000106
TOTAL	invoke	i32	ptr,ptr,i32,ptr,ptr,ptr,ptr,ptr,label,label,ptr	2	0.000106
TOTAL	invoke	i32	ptr,ptr,ptr,float,label,label,ptr	2	0.000106
TOTAL	invoke	i64	i64,i64,i64,label,label,ptr	2	0.000106
TOTAL	invoke	i64	i64,label,label,ptr	2	0.000106
TOTAL	invoke	i8	i8,label,label,ptr	2	0.000106
TOTAL	invoke	i8	ptr,ptr,label,label,ptr	2	0.000106
TOTAL	invoke	ptr	ptr,i64,i64,label,label,ptr	2	0.000106
TOTAL	invoke	ptr	ptr,i64,ptr,ptr,label,label,ptr	2	0.000106
TOTAL	invoke	ptr	ptr,ptr,i64,label,label,ptr	2	0.000106
TOTAL	invoke	void	i64,ptr,label,label,ptr	2	0.000106
TOTAL	invoke	void	ptr,float,ptr,ptr,ptr,label,label,ptr	2	0.000106
TOTAL	invoke	void	ptr,i1,ptr,label,label,ptr	2	0.000106
TOTAL	invoke	void	ptr,i16,i64,i1,label,label,ptr	2	0.000106
TOTAL	invoke	void	ptr,i16,label,label,ptr	2	0.000106
TOTAL	invoke	void	ptr,i32,float,label,label,ptr	2	0.000106
TOTAL	invoke	void	ptr,i32,i32,i32,ptr,label,label,ptr	2	0.000106
TOTAL	invoke	void	ptr,i32,i32,ptr,float,float,float,i32,i32,i1,label,label,ptr	2	0.000106
TOTAL	invoke	void	ptr,i32,i32,ptr,ptr,ptr,label,label,ptr	2	0.000106
TOTAL	invoke	void	ptr,i64,i32,label,label,ptr	2	0.000106
TOTAL	invoke	void	ptr,i64,ptr,ptr,ptr,label,label,ptr	2	0.000106
TOTAL	invoke	void	ptr,ptr,float,ptr,label,label,ptr	2	0.000106
TOTAL	invoke	void	ptr,ptr,float,ptr,ptr,label,label,ptr	2	0.000106
TOTAL	invoke	void	ptr,ptr,i1,ptr,ptr,label,label,ptr	2	0.000106
TOTAL	invoke	void	ptr,ptr,i32,ptr,i32,i32,label,label,ptr	2	0.000106
TOTAL	invoke	void	ptr,ptr,i64,ptr,label,label,ptr	2	0.000106
TOTAL	invoke	void	ptr,ptr,i8,label,label,ptr	2	0.000106
TOTAL	invoke	void	ptr,ptr,ptr,float,ptr,label,label,ptr	2	0.000106
TOTAL	invoke	void	ptr,ptr,ptr,ptr,ptr,ptr,float,ptr,ptr,ptr,label,label,ptr	2	0.000106
TOTAL	invoke	void	ptr,ptr,ptr,ptr,ptr,ptr,ptr,ptr,ptr,ptr,ptr,label,label,ptr	2	0.000106
TOTAL	load	[2 x ptr]	ptr	2	0.000106
TOTAL	phi	i1	i1,i1,i1,i1,i1,i1,i1,i1,i1	2	0.000106
TOTAL	phi	i1	i1,i1,i1,i1,i1,i1,i1,i1,i1,i1,i1,i1,i1	2	0.000106
TOTAL	sitofp	float	i16	2	0.000106
TOTAL	store	void	[2 x ptr],ptr	2	0.000106
TOTAL	switch	void	i32,label,label,label,label,label,label,label,label,label,label,label,label,label,label,label,label,label,label	2	0.000106
TOTAL	switch	void	i32,label,label,label,label,label,label,label,label,label,label,label,label,label,label,label,label,label,label,label,label,label,label,label,label,label,label,label,label,label,label,label	2	0.000106
TOTAL	switch	void	i32,label,label,label,label,label,label,label,label,label,label,label,label,label,label,label,label,label,label,label,label,label,label,label,label,label,label,label,label,label,label,label,label,label,label,label,label	2	0.000106
TOTAL	switch	void	i32,label,label,label,label,label,label,label,label,label,label,label,label,label,label,label,label,label,label,label,label,label,label,label,label,label,label,label,label,label,label,label,label,label,label,label,label,label,label,label	2	0.000106
TOTAL	switch	void	i32,label,label,label,label,label,label,label,label,label,label,label,label,label,label,label,label,label,label,label,label,label,label,label,label,label,label,label,label,label,label,label,label,label,label,label,label,label,label,label,label,label,label,label,label,label,label,label,label,label,label,label,label,label	2	0.000106
TOTAL	switch	void	i32,label,label,label,label,label,label,label,label,label,label,label,label,label,label,label,label,label,label,label,label,label,label,label,label,label,label,label,label,label,label,label,label,label,label,label,label,label,label,label,label,label,label,label,label,label,label,label,label,label,label,label,label,label,label,label,label,label,label,label,label,label	2	0.000106
TOTAL	switch	void	i64,label,label,label	2	0.000106
TOTAL	switch	void	i64,label,label,label,label	2	0.000106
TOTAL	switch	void	i64,label,label,label,label,label,label,label,label	2	0.000106
TOTAL	switch	void	i64,label,label,label,label,label,label,label,label,label,label	2	0.000106
TOTAL	uitofp	double	i64	2	0.000106
TOTAL	call	%class.btVector4	ptr,ptr	1	0.000053
TOTAL	call	[2 x i64]	ptr,[2 x i64],[2 x i64],[2 x i64],ptr	1	0.000053
TOTAL	call	[2 x i64]	ptr,[2 x i64],ptr	1	0.000053
TOTAL	call	double	ptr,i32,i32,double,double,i32,ptr	1	0.000053
TOTAL	call	double	ptr,i32,i32,i32,double,double,i32,ptr	1	0.000053
TOTAL	call	double	ptr,i64,ptr	1	0.000053
TOTAL	call	double	ptr,ptr,double,i32,i32,i16,i16,i16,ptr	1	0.000053
TOTAL	call	double	ptr,ptr,ptr,i64,ptr,i32,ptr,ptr	1	0.000053
TOTAL	call	double	ptr,ptr,ptr,i64,ptr,ptr,ptr,ptr,ptr	1	0.000053
TOTAL	call	double	ptr,ptr,ptr,ptr,double,i1,ptr	1	0.000053
TOTAL	call	float	i32,i32,ptr,ptr,ptr,ptr,i32,i32,ptr	1	0.000053
TOTAL	call	float	i32,i32,ptr,ptr,ptr,ptr,ptr,ptr,i32,i32,i32,i32,i32,ptr,ptr,ptr,ptr	1	0.000053
TOTAL	call	float	ptr,float,float,ptr	1	0.000053
TOTAL	call	float	ptr,float,float,ptr,ptr,ptr,ptr,ptr,ptr,i32,ptr,ptr,ptr	1	0.000053
TOTAL	call	float	ptr,float,ptr,float,ptr,ptr,ptr,ptr,ptr	1	0.000053
TOTAL	call	float	ptr,float,ptr,ptr,ptr,ptr	1	0.000053
TOTAL	call	float	ptr,i32,i32,ptr	1	0.000053
TOTAL	call	float	ptr,ptr,float,float,float,float,i32,i32,ptr,ptr,float,ptr	1	0.000053
TOTAL	call	float	ptr,ptr,i32,i32,ptr,ptr,i32,ptr	1	0.000053
TOTAL	call	float	ptr,ptr,ptr,ptr,float,ptr	1	0.000053
TOTAL	call	float	ptr,ptr,ptr,ptr,i32,i32,i32,ptr,ptr	1	0.000053
TOTAL	call	float	ptr,ptr,ptr,ptr,i32,i32,i32,ptr,ptr,ptr,ptr,ptr,ptr	1	0.000053
TOTAL	call	float	ptr,ptr,ptr,ptr,i32,ptr	1	0.000053
TOTAL	call	float	ptr,ptr,ptr,ptr,ptr,float,ptr	1	0.000053
TOTAL	call	float	ptr,ptr,ptr,ptr,ptr,float,ptr,ptr,ptr	1	0.000053
TOTAL	call	float	ptr,ptr,ptr,ptr,ptr,i32,i32,i32,i32,i32,i32,ptr	1	0.000053
TOTAL	call	float	ptr,ptr,ptr,ptr,ptr,ptr,ptr	1	0.000053
TOTAL	call	float	ptr,ptr,ptr,ptr,ptr,ptr,ptr,ptr	1	0.000053
TOTAL	call	float	ptr,ptr,ptr,ptr,ptr,ptr,ptr,ptr,ptr,ptr	1	0.000053
TOTAL	call	float	ptr,ptr,ptr,ptr,ptr,ptr,ptr,ptr,ptr,ptr,ptr	1	0.000053
TOTAL	call	float	ptr,ptr,ptr,ptr,ptr,ptr,ptr,ptr,ptr,ptr,ptr,i32,i32,ptr	1	0.000053
TOTAL	call	float	ptr,ptr,ptr,ptr,ptr,ptr,ptr,ptr,ptr,ptr,ptr,ptr,i32,i32,ptr	1	0.000053
TOTAL	call	i16	ptr,ptr,ptr,ptr,i16,i16,ptr,ptr,ptr	1	0.000053
TOTAL	call	i1	double,double,i64,ptr	1	0.000053
TOTAL	call	i1	i1,i1,ptr	1	0.000053
TOTAL	call	i1	i16,ptr	1	0.000053
TOTAL	call	i1	i32,i32,i32,i32,i32,i32,ptr,ptr	1	0.000053
TOTAL	call	i1	i8,i8,ptr	1	0.000053
TOTAL	call	i1	ptr,[2 x i64],[2 x i64],ptr	1	0.000053
TOTAL	call	i1	ptr,i1,i1,ptr	1	0.000053
TOTAL	call	i1	ptr,i32,i32,float,ptr	1	0.000053
TOTAL	call	i1	ptr,i32,i32,i32,ptr	1	0.000053
TOTAL	call	i1	ptr,ptr,i1,i1,i1,ptr	1	0.000053
TOTAL	call	i1	ptr,ptr,i32,i1,ptr	1	0.000053
TOTAL	call	i1	ptr,ptr,i32,i32,i32,ptr	1	0.000053
TOTAL	call	i1	ptr,ptr,i32,i32,ptr,i32,i32,ptr	1	0.000053
TOTAL	call	i1	ptr,ptr,ptr,float,ptr,ptr	1	0.000053
TOTAL	call	i1	ptr,ptr,ptr,ptr,float,ptr,ptr,ptr,float,ptr,ptr	1	0.000053
TOTAL	call	i1	ptr,ptr,ptr,ptr,ptr,ptr,float,ptr	1	0.000053
TOTAL	call	i1	ptr,ptr,ptr,ptr,ptr,ptr,ptr,ptr	1	0.000053
TOTAL	call	i1	ptr,ptr,ptr,ptr,ptr,ptr,ptr,ptr,ptr,ptr,ptr,ptr	1	0.000053
TOTAL	call	i32	double,double,i32,i32,double,ptr	1	0.000053
TOTAL	call	i32	float,float,i32,i32,double,ptr	1	0.000053
TOTAL	call	i32	i16,i16,ptr,ptr	1	0.000053
TOTAL	call	i32	i16,i32,i32,i32,i32,i32,ptr,ptr	1	0.000053
TOTAL	call	i32	i16,i32,ptr,ptr	1	0.000053
TOTAL	call	i32	i16,i64,ptr,ptr	1	0.000053
TOTAL	call	i32	i32,i1,ptr	1	0.000053
TOTAL	call	i32	i32,i32,double,ptr,ptr	1	0.000053
TOTAL	call	i32	i32,i32,i16,i16,i32,i32,ptr	1	0.000053
TOTAL	call	i32	i32,i32,i32,ptr,ptr,ptr	1	0.000053
TOTAL	call	i32	i32,i64,i32,ptr,i64,ptr,ptr,ptr	1	0.000053
TOTAL	call	i32	i32,i64,ptr,ptr	1	0.000053
TOTAL	call	i32	i32,i64,ptr,ptr,ptr	1	0.000053
TOTAL	call	i32	i32,i8,i8,ptr	1	0.000053
TOTAL	call	i32	i32,ptr,i16,ptr	1	0.000053
TOTAL	call	i32	i32,ptr,i32,i32,i32,i32,i32,i32,ptr,ptr,i32,ptr	1	0.000053
TOTAL	call	i32	i32,ptr,i32,ptr,i32,i32,i32,i32,i32,ptr	1	0.000053
TOTAL	call	i32	i32,ptr,i64,ptr,i64,ptr	1	0.000053
TOTAL	call	i32	i32,ptr,ptr,ptr,ptr,ptr,i64,ptr	1	0.000053
TOTAL	call	i32	i64,ptr,i32,i32,i32,i32,ptr,ptr	1	0.000053
TOTAL	call	i32	i8,i32,ptr	1	0.000053
TOTAL	call	i32	i8,ptr,ptr,ptr,ptr,i32,ptr	1	0.000053
TOTAL	call	i32	ptr,double,double,ptr	1	0.000053
TOTAL	call	i32	ptr,float,i32,float,ptr	1	0.000053
TOTAL	call	i32	ptr,float,ptr	1	0.000053
TOTAL	call	i32	ptr,i16,i16,i32,i64,ptr	1	0.000053
TOTAL	call	i32	ptr,i16,i16,i32,ptr,ptr,i64,ptr	1	0.000053
TOTAL	call	i32	ptr,i16,i32,i32,i32,i32,ptr,ptr,i32,i32,i32,ptr,ptr	1	0.000053
TOTAL	call	i32	ptr,i16,i32,i32,ptr,ptr,i32,i32,i32,ptr,ptr,i32,i32,i32,ptr	1	0.000053
TOTAL	call	i32	ptr,i16,i32,i32,ptr,ptr,i32,i32,i32,ptr,ptr,ptr,ptr,i32,i32,i32,ptr	1	0.000053
TOTAL	call	i32	ptr,i16,ptr,ptr,ptr	1	0.000053
TOTAL	call	i32	ptr,i32,float,ptr	1	0.000053
TOTAL	call	i32	ptr,i32,i16,ptr,ptr,ptr	1	0.000053
TOTAL	call	i32	ptr,i32,i32,double,double,double,i32,i32,ptr,i32,ptr	1	0.000053
TOTAL	call	i32	ptr,i32,i32,i32,i32,double,double,double,i32,i32,ptr,i32,i32,i32,i32,i32,i32,ptr	1	0.000053
TOTAL	call	i32	ptr,i32,i32,i32,i32,i32,i32,ptr	1	0.000053
TOTAL	call	i32	ptr,i32,i32,i32,i32,i32,ptr,i32,i16,ptr	1	0.000053
TOTAL	call	i32	ptr,i32,i32,i32,i32,ptr,i32,i32,i32,i32,ptr,i32,i32,i32,i32,ptr,ptr	1	0.000053
TOTAL	call	i32	ptr,i32,i32,i32,i32,ptr,i32,ptr,i32,ptr	1	0.000053
TOTAL	call	i32	ptr,i32,i32,i8,ptr	1	0.000053
TOTAL	call	i32	ptr,i32,i32,ptr,i32,i32,i32,i32,i32,i32,i32,ptr	1	0.000053
TOTAL	call	i32	ptr,i32,i64,i64,ptr	1	0.000053
TOTAL	call	i32	ptr,i32,ptr,double,double,i32,ptr	1	0.000053
TOTAL	call	i32	ptr,i32,ptr,i16,i32,i32,i32,ptr	1	0.000053
TOTAL	call	i32	ptr,i32,ptr,i32,i32,i32,ptr	1	0.000053
TOTAL	call	i32	ptr,i32,ptr,i32,i32,i32,ptr,ptr	1	0.000053
TOTAL	call	i32	ptr,i32,ptr,ptr,i32,ptr,ptr	1	0.000053
TOTAL	call	i32	ptr,i32,ptr,ptr,ptr,i64,i32,ptr	1	0.000053
TOTAL	call	i32	ptr,i64,ptr,double,ptr	1	0.000053
TOTAL	call	i32	ptr,i64,ptr,i32,i32,i32,ptr	1	0.000053
TOTAL	call	i32	ptr,i64,ptr,i64,ptr,ptr	1	0.000053
TOTAL	call	i32	ptr,i64,ptr,ptr,double,double,ptr	1	0.000053
TOTAL	call	i32	ptr,i64,ptr,ptr,double,ptr	1	0.000053
TOTAL	call	i32	ptr,i64,ptr,ptr,i32,i64,ptr	1	0.000053
TOTAL	call	i32	ptr,i64,ptr,ptr,i64,ptr	1	0.000053
TOTAL	call	i32	ptr,i64,ptr,ptr,ptr,ptr,ptr	1	0.000053
TOTAL	call	i32	ptr,i8,i32,ptr	1	0.000053
TOTAL	call	i32	ptr,ptr,double,double,double,double,ptr	1	0.000053
TOTAL	call	i32	ptr,ptr,double,i32,i32,i32,i32,ptr	1	0.000053
