workload	kind	callee	calling_conv	is_vararg	is_tail	is_musttail	can_lower_return	features	return_type	arg_types	split_arg_types	count	share_percent
TOTAL	call	direct	0	0	1	0	1	-	void	ptr{pointer}	ptr{pointer}	243	0.146419
TOTAL	call	direct	0	0	0	0	1	-	i32	i32,i32,i32	i32,i32,i32	237	0.142804
TOTAL	call	direct	0	0	1	0	1	-	i32	ptr{pointer}	ptr{pointer}	237	0.142804
TOTAL	call	direct	0	0	0	0	1	-	ptr{pointer}	ptr{pointer},i32,i32	ptr{pointer},i32,i32	233	0.140394
TOTAL	call	direct	0	0	0	0	1	-	double	ptr{pointer},ptr{pointer}	ptr{pointer},ptr{pointer}	231	0.139188
TOTAL	call	direct	0	0	0	0	1	-	void	ptr{pointer,sret},ptr{pointer},i32	ptr{pointer,sret},ptr{pointer},i32	219	0.131958
TOTAL	call	indirect	0	0	0	0	1	-	i1	ptr{pointer}	ptr{pointer}	212	0.127740
TOTAL	invoke	direct	0	0	0	0	1	-	void	ptr{pointer},ptr{pointer},ptr{pointer},ptr{pointer}	ptr{pointer},ptr{pointer},ptr{pointer},ptr{pointer}	209	0.125932
TOTAL	call	direct	0	0	0	0	1	-	ptr{pointer}	i32,ptr{pointer},ptr{pointer}	i32,ptr{pointer},ptr{pointer}	205	0.123522
TOTAL	call	direct	0	0	0	0	1	-	i64	i32,i64,i32	i32,i64,i32	193	0.116292
TOTAL	call	direct	0	0	0	0	1	-	i32	ptr{pointer},i32,i32	ptr{pointer},i32,i32	192	0.115689
TOTAL	call	direct	0	0	0	0	1	-	i32	ptr{pointer},ptr{pointer},ptr{pointer},ptr{pointer}	ptr{pointer},ptr{pointer},ptr{pointer},ptr{pointer}	179	0.107856
TOTAL	invoke	direct	0	0	0	0	1	-	void	ptr{pointer},i32	ptr{pointer},i32	164	0.098818
TOTAL	call	direct	0	0	0	0	1	-	%class.btVector3	ptr{pointer}	ptr{pointer}	162	0.097613
TOTAL	call	direct	0	0	0	0	1	-	void	ptr{pointer},i32,i1	ptr{pointer},i32,i1	162	0.097613
TOTAL	call	direct	0	0	0	0	1	-	void	ptr{pointer},ptr{pointer},ptr{pointer},ptr{pointer},ptr{pointer},ptr{pointer},ptr{pointer},ptr{pointer},ptr{pointer},ptr{pointer}	ptr{pointer},ptr{pointer},ptr{pointer},ptr{pointer},ptr{pointer},ptr{pointer},ptr{pointer},ptr{pointer},ptr{pointer},ptr{pointer}	160	0.096408
TOTAL	call	direct	0	0	0	0	1	-	void	ptr{pointer},i32,i1,i1	ptr{pointer},i32,i1,i1	155	0.093395
TOTAL	call	direct	0	0	0	0	1	-	ptr{pointer}	i64,i32	i64,i32	153	0.092190
TOTAL	call	direct	0	0	0	0	1	-	i32	ptr{pointer},i32,i32,i32,i32	ptr{pointer},i32,i32,i32,i32	149	0.089780
TOTAL	call	indirect	0	0	0	0	1	-	void	ptr{pointer},ptr{pointer},ptr{pointer},ptr{pointer}	ptr{pointer},ptr{pointer},ptr{pointer},ptr{pointer}	147	0.088574
TOTAL	call	direct	0	0	0	0	1	-	void	ptr{pointer},i32,i32,ptr{pointer}	ptr{pointer},i32,i32,ptr{pointer}	146	0.087972
TOTAL	call	direct	0	0	0	0	1	-	ptr{pointer}	ptr{pointer},ptr{pointer},i64	ptr{pointer},ptr{pointer},i64	143	0.086164
TOTAL	call	direct	0	0	0	0	1	-	i32	ptr{pointer},i64	ptr{pointer},i64	140	0.084357
TOTAL	call	direct	0	0	0	0	1	-	void	ptr{pointer},ptr{pointer},i32,i32	ptr{pointer},ptr{pointer},i32,i32	139	0.083754
TOTAL	call	direct	0	0	0	0	1	-	void	i32,ptr{pointer},ptr{pointer}	i32,ptr{pointer},ptr{pointer}	136	0.081946
TOTAL	call	direct	0	0	0	0	1	-	i64	ptr{pointer},ptr{pointer}	ptr{pointer},ptr{pointer}	132	0.079536
TOTAL	call	direct	0	0	0	0	1	-	void	i32,ptr{pointer}	i32,ptr{pointer}	132	0.079536
TOTAL	call	indirect	0	0	0	0	1	-	float	ptr{pointer}	ptr{pointer}	132	0.079536
TOTAL	call	direct	0	1	0	0	1	-	i32	ptr{pointer}	ptr{pointer}	128	0.077126
TOTAL	call	direct	0	0	0	0	1	-	double	ptr{pointer}	ptr{pointer}	126	0.075921
TOTAL	invoke	direct	0	0	0	0	1	-	ptr{pointer}	i64	i64	126	0.075921
TOTAL	call	direct	0	0	0	0	1	-	void	ptr{pointer},i16,ptr{pointer}	ptr{pointer},i16,ptr{pointer}	123	0.074113
TOTAL	call	direct	0	0	1	0	1	-	i32	ptr{pointer},ptr{pointer},ptr{pointer}	ptr{pointer},ptr{pointer},ptr{pointer}	117	0.070498
TOTAL	call	direct	0	0	0	0	1	-	i32	ptr{pointer},ptr{pointer},ptr{pointer},i32	ptr{pointer},ptr{pointer},ptr{pointer},i32	114	0.068690
TOTAL	call	direct	0	0	0	0	1	-	ptr{pointer}	ptr{pointer},i32,i32,i32,i32,i8	ptr{pointer},i32,i32,i32,i32,i8	114	0.068690
TOTAL	call	direct	0	0	0	0	1	-	void	ptr{pointer},i32,i32,i32	ptr{pointer},i32,i32,i32	114	0.068690
TOTAL	call	direct	0	1	0	0	1	-	i32	ptr{pointer},ptr{pointer,vararg}	ptr{pointer},ptr{pointer,vararg}	114	0.068690
TOTAL	invoke	direct	0	0	0	0	1	-	%class.btVector3	ptr{pointer},ptr{pointer}	ptr{pointer},ptr{pointer}	114	0.068690
TOTAL	invoke	direct	0	0	0	0	1	-	void	ptr{pointer,sret},ptr{pointer},i32	ptr{pointer,sret},ptr{pointer},i32	114	0.068690
TOTAL	invoke	direct	0	0	0	0	1	-	i64	ptr{pointer}	ptr{pointer}	113	0.068088
TOTAL	invoke	direct	0	0	0	0	1	-	void	-	-	110	0.066280
TOTAL	call	direct	0	1	0	0	1	-	i32	ptr{pointer},ptr{pointer},double{vararg}	ptr{pointer},ptr{pointer},double{vararg}	105	0.063267
TOTAL	invoke	direct	0	0	0	0	1	-	i1	ptr{pointer},ptr{pointer}	ptr{pointer},ptr{pointer}	104	0.062665
TOTAL	call	direct	0	0	0	0	1	-	void	ptr{pointer},i8	ptr{pointer},i8	102	0.061460
TOTAL	call	indirect	0	0	0	0	1	-	ptr{pointer}	ptr{pointer}	ptr{pointer}	101	0.060857
TOTAL	call	direct	0	0	0	0	1	-	void	i1	i1	100	0.060255
TOTAL	call	direct	0	1	0	0	1	-	ptr{pointer}	i32,i32,ptr{pointer},i32,ptr{pointer},ptr{pointer,vararg},ptr{pointer,vararg}	i32,i32,ptr{pointer},i32,ptr{pointer},ptr{pointer,vararg},ptr{pointer,vararg}	100	0.060255
TOTAL	invoke	indirect	0	0	0	0	1	-	void	ptr{pointer},ptr{pointer},ptr{pointer}	ptr{pointer},ptr{pointer},ptr{pointer}	99	0.059652
TOTAL	call	direct	0	0	0	0	1	-	i32	i32,i32,i64	i32,i32,i64	98	0.059050
TOTAL	call	direct	0	0	0	0	1	-	void	ptr{pointer},i32,ptr{pointer},ptr{pointer},i32	ptr{pointer},i32,ptr{pointer},ptr{pointer},i32	98	0.059050
TOTAL	call	direct	0	0	0	0	1	-	void	i32,i32,ptr{pointer},i32,i32,i32	i32,i32,ptr{pointer},i32,i32,i32	96	0.057845
TOTAL	call	direct	0	0	0	0	1	-	i1	ptr{pointer},i32	ptr{pointer},i32	95	0.057242
TOTAL	call	direct	0	0	0	0	1	-	i1	ptr{pointer},ptr{pointer},ptr{pointer}	ptr{pointer},ptr{pointer},ptr{pointer}	95	0.057242
TOTAL	call	direct	0	0	0	0	1	-	void	ptr{pointer,sret},ptr{pointer},i32,i32	ptr{pointer,sret},ptr{pointer},i32,i32	92	0.055434
TOTAL	call	direct	0	0	0	0	1	-	void	i32,i32	i32,i32	90	0.054229
TOTAL	call	direct	0	0	0	0	1	-	i32	ptr{pointer},i32,ptr{pointer},ptr{pointer}	ptr{pointer},i32,ptr{pointer},ptr{pointer}	89	0.053627
TOTAL	invoke	direct	0	0	0	0	1	-	void	ptr{pointer},i32,ptr{pointer}	ptr{pointer},i32,ptr{pointer}	89	0.053627
TOTAL	call	direct	0	1	0	0	1	-	i32	ptr{pointer},ptr{pointer},i32{vararg},i32{vararg}	ptr{pointer},ptr{pointer},i32{vararg},i32{vararg}	86	0.051819
TOTAL	invoke	direct	0	0	0	0	1	-	i32	ptr{pointer},i32	ptr{pointer},i32	86	0.051819
